      5515.68      1.08340     -3.29042    -0.703082     -3.32755
      5581.98      1.13690     -3.14974    -0.670115     -3.32560
      5653.66      1.19540     -3.00123    -0.633422     -3.32310
      5730.97      1.25940     -2.84510    -0.592499     -3.31989
      5814.15      1.32960     -2.68162    -0.546631     -3.31574
      5903.42      1.40630     -2.51114    -0.495495     -3.31036
      5998.98      1.48960     -2.33411    -0.438954     -3.30340
      6101.03      1.57950     -2.15101    -0.376966     -3.29444
      6209.76      1.67550     -1.96239    -0.309979     -3.28293
      6325.32      1.77710     -1.76886    -0.238434     -3.26823
      6447.86      1.88350     -1.57103    -0.163068     -3.24957
      6577.52      1.99420     -1.36958   -0.0843102     -3.22613
      6714.42      2.10840     -1.16515  -0.00289111     -3.19700
      6858.68      2.22530    -0.958415    0.0804612     -3.16128
      7010.39      2.34440    -0.750031     0.165318     -3.11820
      7169.66      2.46490    -0.540632     0.250948     -3.06713
      7336.58      2.58630    -0.330829     0.336916     -3.00777
      7511.23      2.70830    -0.121206     0.422983     -2.94029
      7693.70      2.83020    0.0876908     0.508499     -2.86496
      7884.09      2.95170     0.295348     0.593208     -2.78254
      8082.48      3.07240     0.501291     0.676742     -2.69394
      8288.96      3.19210     0.705079     0.758922     -2.60031
      8503.65      3.31050     0.906303     0.839452     -2.50272
      8726.63      3.42730      1.10458     0.918019     -2.40215
      8958.02      3.54220      1.29957     0.994287     -2.29947
      9197.96      3.65510      1.49091      1.06810     -2.19562
      9446.55      3.76570      1.67830      1.13906     -2.09121
      9703.94      3.87380      1.86140      1.20686     -1.98683
      9971.29      3.97910      2.04050      1.27083     -1.88217
